РЦ Транзитный,РЦ Географический,Код ТП,Наименование ТП,Тип склада,Формат для диаграмм,Целевая ЦП,Действующая ЦП,СТМ,Признак объемности,Локальность,"отгрузки по РЦ-ТП сред знач за 3 мес, пал","отгрузки по ТРЦ-ТП сред знач за 3 мес, пал"
РЦ Самара (а),РЦ ПД Зеленодольск,559592,SKU_042679,5-я камера,МК,ТРЦ PBL,ФРЦ,Нет,-,-,13.66,17.79
РЦ Самара (а),РЦ ПД Пенза,504623,SKU_038155,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,26.23,32.92
РЦ Самара (а),РЦ ПД Пенза,631717,SKU_015411,Заморозка,МК,ПД,ПД,Нет,+,-,5.91,7.45
РЦ Самара (а),РЦ ПД Пенза,596869,SKU_002390,Основной склад,БФ,ПД,ПД,Нет,-,-,12.82,17.78
РЦ Самара (а),РЦ ПД Киров,809966,SKU_001077,Основной склад,МД,ПД,ПД,Нет,-,-,10.49,12.3
РЦ Ростов (а),РЦ ПД Ростов,596722,SKU_034439,Основной склад,МД,МП,МП,Нет,-,-,1.85,2.49
РЦ Самара (а),РЦ ПД Пенза,487117,SKU_024676,Основной склад,МД,ПД,ПД,Нет,-,-,3.06,4.08
РЦ Самара (а),РЦ ПД Тольятти,536726,SKU_028258,Основной склад,ФД,ПД,ПД,Нет,-,-,0.42,0.45
РЦ Самара (а),РЦ ПД Зеленодольск,392338,SKU_034808,Заморозка,МИКС,ФРЦ,ПД,Нет,-,-,2.93,4.01
РЦ Самара (а),РЦ ПД Пенза,811057,SKU_008185,Охлажденка,МД,ТРЦ,ТРЦ,Нет,+,-,0.22,0.24
РЦ Самара (а),РЦ ПД Пенза,387222,SKU_017233,Заморозка,МИКС,ТРЦ,ТРЦ,Нет,-,-,11.0,14.87
РЦ Самара (а),РЦ ПД Энгельс,480897,SKU_011922,Основной склад,МК,ПД,ПД,Нет,-,-,0.58,0.78
РЦ Самара (а),РЦ ПД Пенза,231424,SKU_028752,Основной склад,МД,ПД,ПД,Нет,-,-,4.58,5.69
РЦ Самара (а),РЦ ПД Пенза,354505,SKU_023877,Пресервы,МК,ПД,ПД,Нет,-,-,2.7,3.29
РЦ Самара (а),РЦ ПД Тольятти,441859,SKU_046263,5-я камера,МК,Федеральный пулинг,Федеральный пулинг,Нет,-,-,0.54,0.74
РЦ Самара (а),РЦ ПД Зеленодольск,796737,SKU_032669,Основной склад,ФД,ПД,ПД,Нет,+,-,22.46,24.01
РЦ Самара (а),РЦ ПД Тольятти,282724,SKU_049149,5-я камера,МД,ТРЦ PBL,Федеральный пулинг,Нет,-,-,18.47,24.28
РЦ Самара (а),РЦ ПД Зеленодольск,603959,SKU_033564,Охлажденка,БФ,ТРЦ,МП,Да,-,-,10.05,12.28
РЦ Самара (а),РЦ ПД Зеленодольск,428474,SKU_011533,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,11.46,11.82
РЦ Самара (а),РЦ ПД Энгельс,793679,SKU_029339,Основной склад,МК,ПД,ПД,Нет,-,-,14.17,17.75
РЦ Самара (а),РЦ ПД Тольятти,481075,SKU_032628,Заморозка,БФ,ПД,ПД,Нет,-,-,0.85,1.09
РЦ Самара (а),РЦ ПД Пенза,241860,SKU_009887,Основной склад,МД,ПД,ПД,Нет,-,-,1.44,1.5
РЦ Ростов (а),РЦ ПД Краснодар,246351,SKU_004946,Основной склад,ТД,ПД,ПД,Нет,-,-,0.06,0.07
РЦ Самара (а),РЦ ПД Киров,295340,SKU_025808,Основной склад,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,2.66,2.8
РЦ Самара (а),РЦ ПД Зеленодольск,725066,SKU_041430,Основной склад,ФД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,27.85,31.24
РЦ Самара (а),РЦ ПД Зеленодольск,684652,SKU_014324,Основной склад,МД,ПД,ПД,Нет,-,-,0.32,0.4
РЦ Самара (а),РЦ ПД Энгельс,926902,SKU_005726,Основной склад,МК,ПД,ПД,Нет,-,Регион.,1.65,1.94
РЦ Самара (а),РЦ ПД Киров,664516,SKU_036254,Основной склад,МИКС,ПД,ПД,Нет,-,-,13.4,13.86
РЦ Самара (а),РЦ ПД Киров,399225,SKU_006524,Основной склад,МК,ТРЦ,ТРЦ,Нет,+,-,0.89,1.07
РЦ Самара (а),РЦ ПД Энгельс,896586,SKU_024973,Пресервы,МИКС,ТРЦ,ТРЦ,Нет,-,-,8.79,10.87
РЦ Самара (а),РЦ ПД Зеленодольск,222797,SKU_017592,5-я камера,МД,ТРЦ,ТРЦ,Нет,-,-,0.29,0.4
РЦ Подольск (а),РЦ ПД Тула,626602,SKU_005458,Заморозка,ТД,ПД,ПД,Нет,-,-,0.91,1.15
РЦ Самара (а),РЦ ПД Зеленодольск,608658,SKU_020773,Основной склад,БФ,ТРЦ PBL,Федеральный пулинг,Нет,-,-,1.29,1.53
РЦ Самара (а),РЦ ПД Пенза,114578,SKU_043185,Заморозка,МД,ПД,ПД,Нет,-,-,1.27,1.59
РЦ Самара (а),РЦ ПД Пенза,964246,SKU_039951,Заморозка,МИКС,Федеральный пулинг,Федеральный пулинг,Нет,-,-,6.23,6.44
РЦ Самара (а),РЦ ПД Тольятти,149412,SKU_034923,Основной склад,МД,МП,МП,Нет,-,Регион.,5.78,8.02
РЦ Самара (а),РЦ ПД Зеленодольск,965229,SKU_006119,Основной склад,БФ,ПД,ПД,Нет,-,-,9.36,12.77
РЦ Самара (а),РЦ ПД Зеленодольск,842671,SKU_046177,Заморозка,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,0.95,1.21
РЦ Самара (а),РЦ ПД Зеленодольск,604630,SKU_019859,Основной склад,ТД,ПД,ПД,Нет,-,-,0.9,1.0
РЦ Самара (а),РЦ ПД Тольятти,808114,SKU_029017,Охлажденка,ФД,ПД,ПД,Нет,-,-,0.38,0.39
РЦ Самара (а),РЦ ПД Киров,171928,SKU_035300,Пресервы,МК,ФРЦ,ФРЦ,Нет,-,-,3.96,4.58
РЦ Самара (а),РЦ ПД Киров,775685,SKU_024121,Охлажденка,БФ,ФРЦ,ФРЦ,Нет,-,-,0.74,0.88
РЦ Самара (а),РЦ ПД Киров,347535,SKU_031235,Охлажденка,МД,ПД,ПД,Нет,-,-,0.87,0.98
РЦ Самара (а),РЦ ПД Киров,642582,SKU_036507,Основной склад,МД,ФРЦ,ФРЦ,Нет,+,-,8.73,8.9
РЦ Самара (а),РЦ ПД Тольятти,319111,SKU_041501,Основной склад,МД,ФРЦ,ФРЦ,Да,-,-,6.0,7.78
РЦ Самара (а),РЦ ПД Энгельс,428980,SKU_045390,Пресервы,МК,ТРЦ,ТРЦ,Нет,-,-,0.03,0.03
РЦ Самара (а),РЦ ПД Зеленодольск,358353,SKU_013620,Основной склад,МК,ТРЦ,ТРЦ,Нет,-,-,0.43,0.45
